input,output,label,label2
최대 대출 가능한 권수가 몇권이야?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
한번에 대출 가능한 책은 몇권인가요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
몇권까지 대출 돼?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 몇권까지 돼?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 최대 몇권까지야?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
1인당 대출 몇권까지 야?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
최대 몇권까지 대출돼?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
한번에 몇권까지 대출돼?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
한번에 최대 몇권 대출 돼?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출하려는데 최대 몇권까지 돼?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
책 대여 어떻게 해?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
도서 대출 방법좀 알려주세요,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대출 하는 방법좀 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 대출 방법좀 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
도서관 이용 방법좀 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
스마트 도서관 이용 방법좀 알려줄래,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 어떻게 빌려?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 빌리는 방법좀 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대출 어떻게 해?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
스마트 도서관 어떻게 이용해?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 대여 기간 좀 알려줘,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 대출 기간은 어떻게 되나요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 대출 기간좀 알려줘,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출 기간좀 알려줄래,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 대출 기간이 어떻게 돼?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출 기간이 어떻게 돼?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출 기간좀 알려줘,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 며칠 동안 빌릴 수 있어?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대여 기간이 어떻게 돼?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 대여 기간좀 알려줘,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 분실하면 어떻게 되나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 잃어버리면 어떡해?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
도서 분실하면 어떡하나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 잃어버렸는데 어떡해?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
나 책 분실했어 변상해야 돼?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
나 책 잃어버렸어,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 잃어버렸어 물어줘야 돼?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 분실했는데 물어줘야 되지?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
나 책 잃어버렸는데 변상해야 돼?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
도서관 몇 시까지 해?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
운영시간 좀 알려줘,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 방문 가능일 알려줘,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
방문 가능한 시간대가 언제야?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 휴관일은 언제야?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
공휴일에도 운영되나요?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
공휴일에도 운영해?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 쉬는 날이 언제야?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 주말 운영시간이 어떻게 돼?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
책 빌릴 수 있는 시간대가 언제야?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 운영 시간 알려줘,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 휴무일 알려줘,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
휴관일 알려줘,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 운영시간 정보,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 운영일 언제임,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
책 연체 규정이 어떻게 되나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 연체하면 어떻게 됨?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체한 도서에 대한 규제가 있나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
도서 연체했을 때 규제가 있나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체반납하면 규제되는게 있어요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체반납하면 못 빌려요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
도서관에 책 연체에 대한 정책이나 규정이 있어요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체한 책이 있으면 어떻게 됨?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 연체할거 같은데 어떻게 해야하나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
빌린 책 연체할거 같은데 어째야 하나요,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
대출 기간 지나고 나서 책 반납하면 어떻게 되나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
대출 기간 경과 후 반납하면 어떻게 되나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체되면 어떻게 처리하나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체 이력이 있으면 어떻게 되나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
도서 반납 연체 규정 알려줘,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
대출 기간이 지난 책을 반납하지 않으면 어떤 제재를 받아?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체한 책 반납하면 내가 제재받는 게 있어?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체에 따른 패널티가 주어지나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
여기서 빌릴 수 있는 책은 몇 권까지야?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 가능한 책의 권수는 몇 권 인가요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 가능 권수 알려줘,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
1인 대출 가능 권수 어떻게 됩니까,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대여 권수 알려줄래?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대여 권수 규정이 있나요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
1인당 대출할 수 있는 대여 권수 규정이 있어요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
몇권까지 대출할 수 있어?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
몇 권까지 대여가 가능한가요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
빌릴 수 있는 최대 대출 권수가 정해져있어?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 권수 제한 있음?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 권수 제한 있나요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대여할 수 있는 책 개수가 정해져 있나요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
회원별 대여 권수가 제한되어 있나요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
인당 대출할 수 있는 책 개수 몇 개인가요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 가능한 책의 수에는 제한이 있나요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
책 빌릴 수 있는 개수가 제한이 있어?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
도서관 이용 방법이 어떻게 되나요?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
스마트 도서관 어떻게 이용해야 할 지 모르겠어,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
이걸로 책 대여할려면 어떻게 해야해?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대출방법 매뉴얼이 따로 있어?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대출방법 매뉴얼 좀 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
도서관 이용방법 매뉴얼 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 빌리는 거 어떻게 할지 모르겠어,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
도서 대출 매뉴얼 알 수 있을까요?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 빌릴 때 어떻게 해야해요?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 빌려보려면 이거 어떻게 써야해요?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대출하고싶은데 이거 어떻게 써야함?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 대여할려면 어떻게 해야함?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대출 가능한 기간은 얼마나 되나요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출 기간은 얼마나 되요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 빌리면 언제까지 반납해야 해요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출 기간 규정 알려줘,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출하면 언제 반납해야 해요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
1인당 대출기간 제한이 있어?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 빌리면 언제 갖다줘야 해?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 빌리면 며칠동안 볼 수 있어?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출 기간은 정해져있어요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 반납할 수 있는 기간이 정해져있어요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
도서 이용기간이 정해져있어요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출기간이 어떻게 되나요?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출한 책을 분실했을 때 어떻게 해야하나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 잃어버렸는데 어째야 함?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 분실했으면 어떻게 되나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
분실 시 보상 규정이 있나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 분실했어요. 어떻게 해야하나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
"책을 분실했는데, 보상 규정이 있어요?","광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
"책을 분실했는데, 물어줘야 하죠?","광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 분실시 제재가 있나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 잃어버리면 변상해줘야 해요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 분실하면 어떻게 보상해줘야 해요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 훼손했는데 제가 어떻게 하면 되나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 훼손하면 물어줘야 됨?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
자료 분실하면 보상 어떻게 해줘야 해요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
자료 훼손됐는데 제가 물어줘야 하나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책이 훼손되었던데 이거 내가 물어줘야해?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
영업시간이 언제야?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
몇시부터 몇시까지 해?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 언제 쉬어?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 운영시간 언제까지임?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
운영시간 좀,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
언제까지 도서관 운영함?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 쉬는 날,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
맨날 도서관 운영함?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
도서관 쉬는날 알려줘,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
맨날 책 빌릴 수 있음?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
연체됐는데 어떻게 함?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 연체되면 돈 내야 함?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
대여 연장 안 됨?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
대출 연장 안 됨?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체하면 어떻게 됨?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 연체되었는데 어떻게 해야 하나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체된 책 반납하면 어떻게 됨?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
