intent,label
책 {도서명} 현재 언제까지 대출 중인지 알 수 있나요?,"조회(검색, 예약, 반납)"
{도서명} 몇 명 대출했는지 알 수 있나요?,"조회(검색, 예약, 반납)"
도서관에 {도서명} 있나요?,"조회(검색, 예약, 반납)"
{작가명} 작가 책 찾아주세요,"조회(검색, 예약, 반납)"
{작가명} 작가의 책 찾아주세요,"조회(검색, 예약, 반납)"
도서관에 {도서명}  중 대출 가능한 책이  있는지 확인 부탁드립니다.,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}  책  예약 가능한가요?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}  책 현재 대출 중인가요?,"조회(검색, 예약, 반납)"
저 대출 예약좀 하려고요,"조회(검색, 예약, 반납)"
{도서명} 언제 반납 예정이야?,"조회(검색, 예약, 반납)"
최근에 빌렸던 {도서명} 언제까지 반납이야?,"조회(검색, 예약, 반납)"
{도서명} 오늘가면 대출 되나?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}  책을 대출하려면 어떻게 해야 하나요?,"조회(검색, 예약, 반납)"
혹시 {도서명} 지금 대출 돼?,"조회(검색, 예약, 반납)"
{도서명} 대출예약 가능해?,"조회(검색, 예약, 반납)"
내 책 언제까지 반납하면 돼?,"조회(검색, 예약, 반납)"
{도서명} 혹시 예약 되나요?,"조회(검색, 예약, 반납)"
{도서명} 예약좀 해줘,"조회(검색, 예약, 반납)"
{도서명} 대출 예약 해줘,"조회(검색, 예약, 반납)"
{도서명} 이 도서관에 있나요?,"조회(검색, 예약, 반납)"
"{도서명}  이 제 도서관이 아닌 다른 도서관에 있는 경우, 대출이 가능한가요?","조회(검색, 예약, 반납)"
유아용 책 있나요?,"조회(검색, 예약, 반납)"
아동용 도서 있어?,"조회(검색, 예약, 반납)"
내 {도서명} 언제까지 반납이야?,"조회(검색, 예약, 반납)"
추리소설책 뭐 있어?,"조회(검색, 예약, 반납)"
프로그래밍 책 있나요?,"조회(검색, 예약, 반납)"
도서관에서 {작가명}  의 {도서명}   책을 빌릴 수 있을까요?,"조회(검색, 예약, 반납)"
저번주 빌린{도서명} 언제까지 반납하면 돼?,"조회(검색, 예약, 반납)"
어제 빌린 {도서명} 반납일이 언제지?,"조회(검색, 예약, 반납)"
도서관에서 {도서명} 을 찾을 수 있을까요?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}   책 대출 가능한 상태인가요?,"조회(검색, 예약, 반납)"
도서관에서 {작가명}  의 {도서명} 책을 대출할 수 있나요?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}   책 도서관에 있는지 확인해 주세요.,"조회(검색, 예약, 반납)"
{도서명}의 예약 상태를 확인할 수 있나요?,"조회(검색, 예약, 반납)"
지금 도서관에 {도서명} 있나요?,"조회(검색, 예약, 반납)"
{작가명} 작가 {도서명} 있나요?,"조회(검색, 예약, 반납)"
{작가명} 책 {도서명}  현재 대출 중인가요?,"조회(검색, 예약, 반납)"
{도서명}을 예약할 수 있나요?,"조회(검색, 예약, 반납)"
도서관에서 {도서명}  책을 예약할 수 있을까요?,"조회(검색, 예약, 반납)"
도서관에 {작가명}  의 {도서명}  책 있나요?,"조회(검색, 예약, 반납)"
"현재 대여 중인 책이 있는데, 대여가 만료된 후 예약해둔 책 {도서명}  대여 가능한 시기가 언제인지 알 수 있을까요?","조회(검색, 예약, 반납)"
{작가명} 책 {도서명}  현재 도서관에서 대여 중인지 알 수 있을까요?,"조회(검색, 예약, 반납)"
도서관 내 검색 시스템을 이용해 {도서명}을 조회할 수 있을까요?,"조회(검색, 예약, 반납)"
도서관 내 검색 시스템을 이용해 {도서명} 을 찾을 수 있을까요?,"조회(검색, 예약, 반납)"
{도서명} 현재 도서관에 있나요?,"조회(검색, 예약, 반납)"
{작가명} 작가의 다른 작품들도 도서관에 있나요?,"조회(검색, 예약, 반납)"
{도서명} 도서관에 있는지 확인할 수 있을까요?,"조회(검색, 예약, 반납)"
"도서관에서 {도서명} 책을 대여할 수 있는지, 예약할 수 있는지 알고 싶습니다.","조회(검색, 예약, 반납)"
{도서명} 책 좀 검색해줘,"조회(검색, 예약, 반납)"
{도서명} 책 있어?,"조회(검색, 예약, 반납)"
{도서명} 이라는 책 있어?,"조회(검색, 예약, 반납)"
{도서명} 이라는 책 좀 찾아줘,"조회(검색, 예약, 반납)"
{도서명} 이라는 도서 좀 찾아줄래?,"조회(검색, 예약, 반납)"
도서관에 {도서명} 책 있어?,"조회(검색, 예약, 반납)"
도서관에 {도서명} 이라는 책 좀 검색해줘,"조회(검색, 예약, 반납)"
도서관에 {도서명} 책 있는지 검색해줘,"조회(검색, 예약, 반납)"
혹시 {도서명} 대출 되나?,"조회(검색, 예약, 반납)"
혹시 {작가명} 작가님 책 검색돼?,"조회(검색, 예약, 반납)"
{작가명} 작가님 작품들좀 검색해줘,"조회(검색, 예약, 반납)"
{작가명} 님 도서좀 찾아줘,"조회(검색, 예약, 반납)"
{작가명} 님 책들좀 검색해줄래?,"조회(검색, 예약, 반납)"
{작가명} 작품 찾아줘,"조회(검색, 예약, 반납)"
{작가명} 작가님의 {도서명} 있니?,"조회(검색, 예약, 반납)"
{작가명} 작가님의 {도서명} 좀 검색해줘,"조회(검색, 예약, 반납)"
{작가명}님 {도서명} 좀 찾아줘,"조회(검색, 예약, 반납)"
{도서명} 이라는 책인데 {작가명}님이 저자야 책좀 찾아줘,"조회(검색, 예약, 반납)"
{도서명} 이라는 책이고 {작가명}님이 쓰신 책좀 찾아줘,"조회(검색, 예약, 반납)"
{도서명} 이라는 작품이고 {작가명}님이 쓰신 것좀 검색해줘,"조회(검색, 예약, 반납)"
{도서명} {작가명},"조회(검색, 예약, 반납)"
{도서명},"조회(검색, 예약, 반납)"
{작가명},"조회(검색, 예약, 반납)"
{작가명},"조회(검색, 예약, 반납)"
{작가명}의 {도서명} 보여줘,"조회(검색, 예약, 반납)"
{도서명} 지금 대출 예약 가능?,"조회(검색, 예약, 반납)"
{도서명} 빌리고 싶은데 가능해?,"조회(검색, 예약, 반납)"
{작가명}의 {도서명} 대출하고 싶은데 가능한지 알려줘,"조회(검색, 예약, 반납)"
{도서명} 대출 가능하면 예약 걸어줘,"조회(검색, 예약, 반납)"
{도서명} 읽고 싶은데 검색해줘,"조회(검색, 예약, 반납)"
{작가명} 책 읽고 싶은데 지금 있어?,"조회(검색, 예약, 반납)"
{작가명}의 {도서명} 지금 있는지 확인해줘,"조회(검색, 예약, 반납)"
{작가명} 책 목록 검색해줘,"조회(검색, 예약, 반납)"
{도서명} 지금 빌릴 수 있나?,"조회(검색, 예약, 반납)"
{작가명} 책들 지금 빌릴 수 있어?,"조회(검색, 예약, 반납)"
{도서명} 이라는 책 대여하고 싶은데,"조회(검색, 예약, 반납)"
{도서명}이라는 책 찾고 있는데 책 있어?,"조회(검색, 예약, 반납)"
{도서명} 있는지 확인해줘,"조회(검색, 예약, 반납)"
{도서명} 책 찾아줘,"조회(검색, 예약, 반납)"
{도서명} 책 대여 가능해?,"조회(검색, 예약, 반납)"
{도서명} 찾아줄 수 있어?,"조회(검색, 예약, 반납)"
{작가명} 책 가지고 있는거 찾아줄래?,"조회(검색, 예약, 반납)"
{작가명} 저서 찾아줘,"조회(검색, 예약, 반납)"
{작가명} 책 검색해줘,"조회(검색, 예약, 반납)"
{작가명} 신작 나왔다던데 여기 들어왔어?,"조회(검색, 예약, 반납)"
{도서명} 책 지금 재고 있으면 예약 좀 걸어주라,"조회(검색, 예약, 반납)"
{작가명}의 {도서명} 있으면 예약 좀 해줘,"조회(검색, 예약, 반납)"
{도서명} 예약 해줘,"조회(검색, 예약, 반납)"
{도서명} 지금 대출 중인지 확인 좀,"조회(검색, 예약, 반납)"
{작가명} 책 가지고 있는거 있어?,"조회(검색, 예약, 반납)"
문학 작품 중에서 꼭 읽어봐야 하는 작품은 무엇인가요?,추천
로맨스 소설 중에서 추천할 만한 작품이 있나요?,추천
스타워즈나 해리포터와 같은 인기 시리즈 추천해주세요.,추천
판타지 소설 중에서 추천할 만한 작품이 있나요?,추천
정치 소설 중에서 추천할 만한 작품이 있나요?,추천
현재 유행하는 소설 중에서 어떤 작품들이 인기가 있나요?,추천
SF 소설 중에서 추천할 만한 작품이 있나요?,추천
{도서명}  와 비슷한 세계관을 가진 고전 소설을 추천해 주실 수 있나요?,추천
{작가명}  의 {도서명}  와 같은 분위기를 가진 책을 찾고 있습니다. 어떤 책을 추천해 주시겠어요?,추천
고전 소설 중에서 추천하고 싶은 작품이 있나요?,추천
현재 인기 있는 소설 추천해 주세요.,추천
독자들이 가장 좋아하는 현대 소설 작가의 작품을 추천해주세요.,추천
지금 가장 핫한 작가의 작품을 추천해주세요.,추천
추리소설이나 스릴러 중에서 유명한 작품들은 어떤 것이 있나요?,추천
청소년을 위한 추천 도서를 추천해주실 수 있나요?,추천
교육적인 가치가 높은 어린이/청소년 도서를 추천해주실 수 있나요?,추천
철학/사상을 다룬 추천 도서를 추천해주실 수 있나요?,추천
건강/운동을 다룬 추천 도서를 추천해주실 수 있나요?,추천
요리를 다룬 추천 도서를 추천해주실 수 있나요?,추천
여행을 다룬 추천 도서를 추천해주실 수 있나요?,추천
가족을 다룬 추천 도서를 추천해주실 수 있나요?,추천
어떤 작가의 작품이 좋은지 추천해주실 수 있나요?,추천
새로운 책을 찾고 있는데 추천해주실만한 책 있을까요?,추천
최근에 출간된 특정 작가의 작품 중에서 추천하실 만한 작품은 어떤 것이 있나요?,추천
특정 작가의 작품 중에서 추천하실 만한 작품은 어떤 것이 있나요?,추천
내가 안읽은 {작가명} 작가님 책 추천좀,추천
긴장감이 높은 분위기의 책을 추천해주세요.,추천
자기 계발/심리학 장르의 추천 작품은 어떤 것이 있나요?,추천
현재 내가 읽고 있는 책과 비슷한 분위기의 책을 추천해주실 수 있나요?,추천
가장 인기 있는 장르의 책을 추천해주세요.,추천
여태까지 읽은 책과 정반대의 분위기를 가진 책을 추천해주세요.,추천
특정 키워드나 테마와 관련된 비슷한 분위기의 책을 추천해주세요.,추천
이 작가의 다른 책들도 비슷한 분위기를 가지고 있을까요?,추천
이번 달에 나온 새로운 책 중에서 현재 내가 읽고 있는 책과 비슷한 분위기의 책이 있을까요?,추천
{작가명} 작가님 책 추천좀 해줘 ,추천
어두운 분위기의 작품 추천해주세요.,추천
따뜻한 분위기의 작품 추천해주세요.,추천
문학 작품 중에서 유명한 작품들이 어떤 것이 있나요?,추천
정치 소설 중에서 인기 있는 작품은 어떤 것이 있나요?,추천
로맨스 소설 중에서 대중적인 작품이 어떤 것이 있나요?,추천
SF 소설 중에서 추천할 만한 작품은 어떤 것이 있나요?,추천
판타지 소설 중에서 인기 있는 작품이 어떤 것이 있나요?,추천
섬세하게 묘사된 분위기의 책을 추천해주세요.,추천
{도서명} 책과 비슷한 주제의 책들을 찾아볼 수 있을까요?,추천
{작가명}  와 같은 스타일의 책을 찾고 있습니다. 추천해 주시겠어요?,추천
"새로운 소설이나 추천해주실만한 책을 찾고 있는데, 도서관에 이런 책이 있을까요?",추천
"저는 역사에 관심 많은데, 역사 관련 책을 추천해주실 수 있나요?",추천
흥미로운 소설을 찾고 있습니다. 추천해주실만한 작가나 작품있나요?,추천
{도서명}과 비슷한 책 추천좀 해줘,추천
최근에 읽은 좋은 책 있으신가요? 추천 부탁드려요.,추천
역사 관련 책을 추천해주실 수 있나요?,추천
읽기 좋은 책 있으신가요? 추천 부탁드려요.,추천
베스트셀러 중에서 추천하실 만한 작품은 어떤 것이 있나요?,추천
깊은 감정을 불러일으키는 분위기의 책을 추천해주세요.,추천
흥미로운 소설을 찾고 있습니다. 추천해주실만한 작가나 작품 있나요?,추천
자기계발 책을 찾고 있습니다. 어떤 책을 추천해주시겠어요?,추천
{작가명}  책 재밌는거 추천 해주세요,추천
{도서명} 같은 책 없어?,추천
경제에 관한 책 추천을 받을 수 있나요?,추천
{도서명}  와 같은 분위기의 철학 소설을 추천해 주실 수 있나요?,추천
경제 관련 책 추천좀 해줘,추천
추리소설 장르 책 추천좀,추천
내가 읽은 책들과 비슷한책 추천좀,추천
최근 사람들이 많이 읽는책 추천좀,추천
{도서명}  랑 비슷한책 있어?,추천
{도서명}  다 보고 뭐 읽을까?,추천
{도서명}  이랑 유사한책 뭐가 있어?,추천
애기들 보기 좋은책 있나?,추천
도서관에서 대출 가능한 인기 도서를 추천해주세요.,추천
프로그래밍 책 추천좀해줘,추천
최근에 나온책 추천좀 해줘,추천
신간 도서 중에 추천좀,추천
최근에 나온 신간 도서좀 알려줄래?,추천
최근에 출간된 인기 작품은 어떤 것이 있나요?,추천
가장 유명한 고전 소설 작품 중에서 어떤 작품이 가장 많이 추천되나요?,추천
최근에 출간된 소설 중에 추천해주실만한 작품 있을까요?,추천
도서관에서 대출 가능한 베스트셀러를 추천해주세요.,추천
베스트셀러 중 읽을 만한책 좀 알려줘,추천
"추리 소설을 좋아하는데, 어떤 추리 소설을 추천해주실 수 있나요?",추천
"인문학 책을 찾고 있는데, 추천해주실만한 작가나 작품 있을까요?",추천
요즘 사람들이 많이 보는 책 좀 알려줘,추천
추리소설이나 스릴러 중에서 추천할 만한 작품이 있을까요?,추천
현대 소설 중에서 꼭 읽어봐야 하는 작품은 무엇인가요?,추천
현재 가장 인기 있는 소설 중에 추천해주실만한 작품 있을까요?,추천
내가 본거랑 비슷한책 추천좀,추천
새로운 장르의 책을 읽어보고 싶습니다. 추천해주실만한 장르나 작품 있나요?,추천
{작가명}  의 작품과 비슷한 분위기를 가진 단편소설을 추천해 주세요.,추천
비슷한 분위기의 현대 문학 작품을 추천해 주세요.,추천
{도서명}  와 같은 이야기를 다룬 미스터리 소설을 추천해 주실 수 있을까요?,추천
{작가명}  와 같은 일본 작가의 다른 작품을 추천해 주실 수 있나요?,추천
{도서명}  와 비슷한 분위기를 가진 흥미로운 책을 추천해 주세요.,추천
{작가명}  의 작품과 비슷한 분위기를 가진 미스터리 소설을 추천해 주실 수 있나요?,추천
{작가명}  와 비슷한 작가의 책을 추천해 주시면 감사하겠습니다.,추천
{도서명}  와 같은 장르의 책을 추천해 주세요.,추천
비슷한 느낌의 일본 소설을 추천해 주실 수 있을까요?,추천
{도서명}  와 비슷한 이야기를 담은 책을 찾고 있습니다. 추천해 주실 수 있나요?,추천
"도서관 내에서 학습용 책을 찾아보고 싶은데, 어떤 방법 책이  좋을까요?",추천
{작가명}  의 {도서명}  와 비슷한 책을 추천해 주세요.,추천
{작가명}  의 {도서명}  와 같은 작가의 다른 책을 추천해 주실 수 있나요?,추천
내가 봤던 책이랑 비슷한 장르 책들좀 추천해줘,추천
내가 빌린 책들과 비슷한 책들좀 알려줘,추천
내가 본 책들이랑 비슷한 책좀 추천해봐,추천
지금까지 빌린 책들과 비슷한 목록들좀 추천해봐,추천
내 대출목록들이랑 비슷한 책들좀 추천해봐,추천
{도서명} 이랑 비슷한 느낌의 책들좀 추천해봐,추천
{도서명} 재밌게 읽었는데 유사한 책들 추천좀,추천
{도서명}같은 책들 추천좀,추천
스릴러 추리 소설 책들 추천좀,추천
장편 소설 재밌는 것좀 추천해봐,추천
프로그래밍과 관련된 책좀 추천해봐,추천
컴퓨터와 관련 책들좀 추천해봐,추천
외국 소설 재밌는것좀 추천해봐,추천
역사 책들좀 추천해줄래?,추천
역사와 관련된 도서들좀 추천해봐,추천
경제랑 관련된 책들좀 추천해봐,추천
로맨스 소설 책들좀 추천해줄래,추천
SF 소설 작품들좀 추천해봐,추천
SF 소설 재밌는 것좀 추천해봐,추천
자기계발 책들좀 추천해봐,추천
문학 소설 책들좀 추천해봐,추천
{작가명} 책 추천 좀,추천
{작가명} 책들 추천해줄 수 있어?,추천
추천해줄만한 {도서명} 있어?,추천
추천해줄 수 있는 {작가명}의 책 있어?,추천
사람들이 가장 많이 빌린 {도서명} 추천해줄래?,추천
{작가명}의 가장 인기있는 {도서명} 추천 좀,추천
최근에 유행하는 책 추천해주세요,추천
"문학작품을 찾고 있는데, 어떤 작가의 작품을 추천해줄 수 있나요?",추천
"취미 생활과 관련된 책을 찾고 있는데, 추천도서가 있을까요?",추천
{작가명}의 꼭 읽어야 하는 책 알려줘,추천
요즘 볼만한 {도서명} 추천해줘,추천
사람들이 가장 많이 찾는 책이 뭐야?,추천
{작가명}의 유명한 책 추천해줘,추천
요즘 날씨에 보기 좋은 책 추천해줘,추천
{작가명} 중 사람들이 가장 많이 빌린 책이 뭐야?,추천
{작가명} 신작 추천 좀 해줘,추천
여기서 잘 나가는 책 있으면 추천해줘,추천
요즘 로맨스에 관심있는데 볼만한 책 추천 좀,추천
자기계발서 요즘 볼만한 게 있을까?,추천
어린이들이 볼 만한 동화책 있어?,추천
로맨스 소설 중에서 가장 추천할만한 작품이 뭐 있어?,추천
최근에 인기있는 신간 중에서 추천해줄만한 책이 있어?,추천
사람들이 많이 대여한 소설 리스트 알려줘,추천
{작가명} 책 중에 사람들이 많이 대여한 책 알려줘,추천
추리 소설중에 사람들이 많이 빌려간 책 알려줘,추천
여기서 많이 빌려보는 책들이 뭐가 있어?,추천
로맨스 소설 많이 보고있는데 내가 읽은거 말고 다른 볼만한 책 있어?,추천
내가 읽은 책 빼고 다른 책 알려줘,추천
요즘 사람들이 많이 읽는 책 보여줘,추천
여기서 많이 빌려본 책이 뭐야?,추천
운영 시간이 어떻게 되나요?,문의
몇시부터 몇시까지 열어?,문의
아침에 몇시에 열어?,문의
저녁에 몇시까지 해?,문의
운영 시간이 언제야?,문의
몇시부터 몇시까지 운영해?,문의
공휴일에 열어?,문의
스마트 도서관 운영시간이 어떻게 돼?,문의
몇시에 열어?,문의
몇시까지 해?,문의
나 책 연체됐는데 어떻게 돼?,문의
빌린 책 연체 되면 어떻게 되나요?,문의
책 연체 되면 어떡하나요?,문의
책 늦게 반납하면 정지인가요?,문의
책 반납 늦게하면 어떻게 돼요?,문의
연체 되면 어떻게 돼요?,문의
책 연체 되면 정지야?,문의
연체 하면 정지먹어?,문의
빌린 책 연체하면 정지야?,문의
연체 되면 정지지?,문의
최대 대출 가능한 권수가 몇권이야?,문의
한번에 대출 가능한 책은 몇권인가요?,문의
몇권까지 대출 돼?,문의
대출 몇권까지 돼?,문의
대출 최대 몇권까지야?,문의
1인당 대출 몇권까지 야?,문의
최대 몇권까지 대출돼?,문의
한번에 몇권까지 대출돼?,문의
한번에 최대 몇권 대출 돼?,문의
대출하려는데 최대 몇권까지 돼?,문의
책 대여 어떻게 해?,문의
도서 대출 방법좀 알려주세요,문의
대출 하는 방법좀 알려줘,문의
책 대출 방법좀 알려줘,문의
도서관 이용 방법좀 알려줘,문의
스마트 도서관 이용 방법좀 알려줄래,문의
책 어떻게 빌려?,문의
책 빌리는 방법좀 알려줘,문의
대출 어떻게 해?,문의
스마트 도서관 어떻게 이용해?,문의
책 대여 기간 좀 알려줘,문의
책 대출 기간은 어떻게 되나요?,문의
책 대출 기간좀 알려줘,문의
대출 기간좀 알려줄래,문의
책 대출 기간이 어떻게 돼?,문의
대출 기간이 어떻게 돼?,문의
대출 기간좀 알려줘,문의
책 며칠 동안 빌릴 수 있어?,문의
대여 기간이 어떻게 돼?,문의
책 대여 기간좀 알려줘,문의
책 분실하면 어떻게 되나요?,문의
책 잃어버리면 어떡해?,문의
도서 분실하면 어떡하나요?,문의
책 잃어버렸는데 어떡해?,문의
나 책 분실했어 변상해야 돼?,문의
나 책 잃어버렸어,문의
책 잃어버렸어 물어줘야 돼?,문의
책 분실했는데 물어줘야 되지?,문의
나 책 잃어버렸는데 변상해야 돼?,문의
도서관 몇 시까지 해?,문의
운영시간 좀 알려줘,문의
도서관 방문 가능일 알려줘,문의
방문 가능한 시간대가 언제야?,문의
도서관 휴관일은 언제야?,문의
공휴일에도 운영되나요?,문의
공휴일에도 운영해?,문의
도서관 쉬는 날이 언제야?,문의
도서관 주말 운영시간이 어떻게 돼?,문의
책 빌릴 수 있는 시간대가 언제야?,문의
도서관 운영 시간 알려줘,문의
도서관 휴무일 알려줘,문의
휴관일 알려줘,문의
도서관 운영시간 정보,문의
도서관 운영일 언제임,문의
책 연체 규정이 어떻게 되나요?,문의
책 연체하면 어떻게 됨?,문의
연체한 도서에 대한 규제가 있나요?,문의
도서 연체했을 때 규제가 있나요?,문의
연체반납하면 규제되는게 있어요?,문의
연체반납하면 못 빌려요?,문의
도서관에 책 연체에 대한 정책이나 규정이 있어요?,문의
연체한 책이 있으면 어떻게 됨?,문의
책 연체할거 같은데 어떻게 해야하나요?,문의
빌린 책 연체할거 같은데 어째야 하나요,문의
대출 기간 지나고 나서 책 반납하면 어떻게 되나요?,문의
대출 기간 경과 후 반납하면 어떻게 되나요?,문의
연체되면 어떻게 처리하나요?,문의
연체 이력이 있으면 어떻게 되나요?,문의
도서 반납 연체 규정 알려줘,문의
대출 기간이 지난 책을 반납하지 않으면 어떤 제재를 받아?,문의
연체한 책 반납하면 내가 제재받는 게 있어?,문의
연체에 따른 패널티가 주어지나요?,문의
여기서 빌릴 수 있는 책은 몇 권까지야?,문의
대출 가능한 책의 권수는 몇 권 인가요?,문의
대출 가능 권수 알려줘,문의
1인 대출 가능 권수 어떻게 됩니까,문의
대여 권수 알려줄래?,문의
대여 권수 규정이 있나요?,문의
1인당 대출할 수 있는 대여 권수 규정이 있어요?,문의
몇권까지 대출할 수 있어?,문의
몇 권까지 대여가 가능한가요?,문의
빌릴 수 있는 최대 대출 권수가 정해져있어?,문의
대출 권수 제한 있음?,문의
대출 권수 제한 있나요?,문의
대여할 수 있는 책 개수가 정해져 있나요?,문의
회원별 대여 권수가 제한되어 있나요?,문의
인당 대출할 수 있는 책 개수 몇 개인가요?,문의
대출 가능한 책의 수에는 제한이 있나요?,문의
책 빌릴 수 있는 개수가 제한이 있어?,문의
도서관 이용 방법이 어떻게 되나요?,문의
스마트 도서관 어떻게 이용해야 할 지 모르겠어,문의
이걸로 책 대여할려면 어떻게 해야해?,문의
대출방법 매뉴얼이 따로 있어?,문의
대출방법 매뉴얼 좀 알려줘,문의
도서관 이용방법 매뉴얼 알려줘,문의
책 빌리는 거 어떻게 할지 모르겠어,문의
도서 대출 매뉴얼 알 수 있을까요?,문의
책 빌릴 때 어떻게 해야해요?,문의
책 빌려보려면 이거 어떻게 써야해요?,문의
대출하고싶은데 이거 어떻게 써야함?,문의
책 대여할려면 어떻게 해야함?,문의
대출 가능한 기간은 얼마나 되나요?,문의
대출 기간은 얼마나 되요?,문의
책 빌리면 언제까지 반납해야 해요?,문의
대출 기간 규정 알려줘,문의
대출하면 언제 반납해야 해요?,문의
1인당 대출기간 제한이 있어?,문의
책 빌리면 언제 갖다줘야 해?,문의
책 빌리면 며칠동안 볼 수 있어?,문의
대출 기간은 정해져있어요?,문의
책 반납할 수 있는 기간이 정해져있어요?,문의
도서 이용기간이 정해져있어요?,문의
대출기간이 어떻게 되나요?,문의
대출한 책을 분실했을 때 어떻게 해야하나요?,문의
책 잃어버렸는데 어째야 함?,문의
책 분실했으면 어떻게 되나요?,문의
분실 시 보상 규정이 있나요?,문의
책 분실했어요. 어떻게 해야하나요?,문의
"책을 분실했는데, 보상 규정이 있어요?",문의
"책을 분실했는데, 물어줘야 하죠?",문의
책 분실시 제재가 있나요?,문의
책 잃어버리면 변상해줘야 해요?,문의
책 분실하면 어떻게 보상해줘야 해요?,문의
책 훼손했는데 제가 어떻게 하면 되나요?,문의
책 훼손하면 물어줘야 됨?,문의
자료 분실하면 보상 어떻게 해줘야 해요?,문의
